Concepticon_ID_x,Concepticon_ID_y,clics_form_x,clics_form_y,cosine_similarity
1252,3324,bahay,bakal,0.25344327
1252,3325,bahay,perlas,0.080195785
1252,730,bahay,ahas,0.14701106
1252,3154,bahay,baboyramo,0.35599
1252,3326,bahay,katad,0.16087176
1252,1616,bahay,kayo,0.25602442
1252,1927,bahay,kawayanspinyspecies,0.30795097
1252,2680,bahay,gulok,0.30098602
1252,846,bahay,tigre,0.13517687
930,1669,nayon,nuno,0.20573944
930,823,nayon,mangkukulam,0.17974931
930,1343,nayon,araw,0.21814889
930,1313,nayon,buwan,0.16140394
930,1430,nayon,bituwin,0.11757739
930,1793,nayon,kabag,0.13344999
930,937,nayon,ibon,0.1358204
930,1490,nayon,daga,0.120967135
930,2348,nayon,alimango,0.1700449
930,1350,nayon,matsing,0.083446816
930,862,nayon,asukal,0.06941346
930,2769,nayon,karnengbaboy,0.22690557
930,665,nayon,pukyutan,0.16696501
930,1100,nayon,lutu,0.08329405
930,1261,nayon,awit,0.16889374
930,1435,nayon,maghanap,0.06263685
930,354,nayon,bayo,0.09099403
930,926,nayon,bigas,0.12428627
930,1191,nayon,kanin,0.13139406
930,748,nayon,hasik,0.18206854
930,146,nayon,tubo,0.14985892
930,1369,nayon,ginto,0.11721393
930,410,nayon,kamote,0.124198906
930,1844,nayon,paraw,0.2579953
930,1803,nayon,kahoy,0.21135177
930,3318,nayon,gaodoar,0.10516499
930,942,nayon,pulotpukyutan,0.23311496
930,1787,nayon,panghabi,0.25364587
930,634,nayon,laman,0.09624318
930,284,nayon,asarol,0.17912045
930,133,nayon,habi,0.20751046
930,140,nayon,palayan,0.32479507
930,1524,nayon,alak,0.13496548
930,2794,nayon,linang,0.25042102
930,225,nayon,halo,0.09419557
930,1537,nayon,tagulan,0.19907257
930,1075,nayon,panghuli,0.09835338
930,3320,nayon,silo,0.10685471
930,1342,nayon,taginit,0.2702054
930,1276,nayon,taglagas,0.14544651
930,1471,nayon,taglamig,0.17613912
930,977,nayon,palaso,0.08193101
930,1539,nayon,bilao,0.22871345
930,994,nayon,busog,0.041113492
930,245,nayon,walis,0.13828784
930,677,nayon,palakol,0.08653581
930,934,nayon,kalabawramo,0.23477656
930,1352,nayon,kampit,0.2915565
930,1895,nayon,damit,0.1957858
930,945,nayon,sibat,0.10547109
930,3321,nayon,lanaw,0.3330918
930,3324,nayon,bakal,0.080018215
930,3325,nayon,perlas,0.09572035
930,730,nayon,ahas,0.1191027
930,3154,nayon,baboyramo,0.25290653
930,3326,nayon,katad,0.080186285
930,1616,nayon,kayo,0.054925777
930,1927,nayon,kawayanspinyspecies,0.27542046
930,2680,nayon,gulok,0.24753585
930,846,nayon,tigre,0.06113239
1669,823,nuno,mangkukulam,0.25145772
1669,1343,nuno,araw,0.1024573
1669,1313,nuno,buwan,0.104238555
1669,1430,nuno,bituwin,0.14112756
1669,1793,nuno,kabag,0.20209786
1669,937,nuno,ibon,0.14901544
1669,1490,nuno,daga,0.17228019
1669,2348,nuno,alimango,0.22827934
1669,1350,nuno,matsing,0.23156457
1669,862,nuno,asukal,0.03200131
1669,2769,nuno,karnengbaboy,0.16516353
1669,665,nuno,pukyutan,0.15203887
1669,1100,nuno,lutu,0.07378088
1669,1261,nuno,awit,0.16232583
1669,1435,nuno,maghanap,0.03719699
1669,354,nuno,bayo,0.038114842
1669,926,nuno,bigas,0.0892686
1669,1191,nuno,kanin,0.072645836
1669,748,nuno,hasik,0.060580075
1669,146,nuno,tubo,0.13473052
1669,1369,nuno,ginto,0.0834284
1669,410,nuno,kamote,0.11639787
1669,1844,nuno,paraw,0.20102805
1669,1803,nuno,kahoy,0.17829095
1669,3318,nuno,gaodoar,0.038976822
1669,942,nuno,pulotpukyutan,0.18331377
1669,1787,nuno,panghabi,0.1465464
1669,634,nuno,laman,0.13733907
1669,284,nuno,asarol,0.16854344
1669,133,nuno,habi,0.118598126
1669,140,nuno,palayan,0.18216784
1669,1524,nuno,alak,0.0541115
1669,2794,nuno,linang,0.16862777
1669,225,nuno,halo,0.008288397
1669,1537,nuno,tagulan,0.16417873
1669,1075,nuno,panghuli,0.09130218
1669,3320,nuno,silo,0.061066616
1669,1342,nuno,taginit,0.11441514
1669,1276,nuno,taglagas,0.08730956
1669,1471,nuno,taglamig,0.01602519
1669,977,nuno,palaso,0.19439745
1669,1539,nuno,bilao,0.20592418
1669,994,nuno,busog,0.14291243
1669,245,nuno,walis,0.1514726
1669,677,nuno,palakol,0.18971841
